episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
66,6923,66,-93.030289,0.094045,0.561543,156,0,2,16,16,0,1,0,0.0,0,0,-16.8,,,,,,,,
67,6941,67,202.51152,0.081447,0.560403,63,3,3,7,4,25,60,30,13.803467,13,17,16.801733,,,,,,,,
68,6956,68,-12.311503,0.088361,0.559453,122,2,2,12,10,0,9,14,8.712646,2,12,-16.043677,,,,,,,,
69,7123,69,10.114368,0.093737,0.548877,168,0,2,16,16,0,9,0,0.0,0,0,-18.0,,,,,,,,
70,7509,70,-20.415708,0.094189,0.52443,192,0,2,16,16,0,0,0,0.0,0,0,-18.0,,,,,,,,
71,7810,71,-39.184995,0.091831,0.505367,167,0,2,16,16,0,0,0,0.0,0,0,-16.8,,,,,,,,
72,7831,72,-42.265796,0.089789,0.504037,189,1,2,16,15,0,1,10,4.285156,3,7,-11.357422,,,,,,,,
73,8040,73,38.120484,0.090799,0.4908,137,2,3,16,14,4,21,6,3.064697,4,2,-6.267651,,,,,,,,
74,8064,74,-45.045469,0.090937,0.48928,197,0,2,16,16,0,5,2,0.745361,0,2,-17.027319,,,,,,,,
75,8126,75,-7.287671,0.100153,0.485353,97,3,3,9,6,3,3,6,3.449707,2,3,-1.575146,,,,,,,,
76,8687,76,-29.154956,0.091287,0.449823,210,1,2,16,15,0,1,1,0.549805,0,1,-18.025098,,,,,,,,
77,8689,77,137.614443,0.096494,0.449697,128,1,3,16,15,9,36,1,0.529297,0,1,-18.035352,,,,,,,,
78,8842,78,119.187512,0.095358,0.440007,132,2,3,16,14,4,32,6,2.865967,5,1,1.732983,,,,,,,,
79,8853,79,-35.174077,0.091547,0.43931,84,1,4,16,15,2,9,6,3.246826,5,2,-1.976587,,,,,,,,
80,9020,80,-15.801651,0.092901,0.428733,129,0,3,16,16,0,1,2,0.641602,0,2,-19.479199,,,,,,,,
81,9190,81,-13.884838,0.095155,0.417967,148,0,3,16,16,0,8,0,0.0,0,1,-20.7,,,,,,,,
82,9353,82,-21.426803,0.095901,0.407643,185,2,3,16,14,0,5,5,3.672363,5,0,2.436182,,,,,,,,
83,9379,83,77.771825,0.098583,0.405997,141,3,3,15,12,17,23,28,10.65332,21,7,49.42666,,,,,,,,
84,9435,84,-14.316021,0.093641,0.40245,157,1,3,16,15,0,2,3,1.093994,0,3,-18.353003,,,,,,,,
85,9821,85,-51.20963,0.09645,0.378003,180,1,3,16,15,0,1,1,0.588867,0,1,-14.405566,,,,,,,,
86,9961,86,11.830794,0.086276,0.369137,38,4,4,7,3,2,10,20,10.387451,13,7,30.093726,,,,,,,,
87,10135,87,90.740154,0.096615,0.358117,144,2,4,16,14,9,26,13,7.481689,7,6,0.140845,,,,,,,,
88,10244,88,8.695778,0.092108,0.351213,215,2,3,16,14,4,9,4,1.753174,3,1,-6.023413,,,,,,,,
89,10302,89,58.801015,0.086584,0.34754,136,3,4,16,13,9,32,13,5.780029,8,5,3.790015,,,,,,,,
90,10392,90,-14.115835,0.087977,0.34184,147,0,4,16,16,0,3,0,0.0,0,0,-16.8,,,,,,,,
91,10834,91,53.615597,0.087319,0.313847,189,2,4,16,14,11,27,12,5.786377,5,7,-3.406812,,,,,,,,
92,10842,92,-12.775274,0.085802,0.31334,125,0,4,16,16,0,2,0,0.0,0,0,-15.6,,,,,,,,
93,10895,93,-24.560342,0.084438,0.309983,138,4,4,11,7,1,4,8,3.827881,2,6,-7.08606,,,,,,,,
94,11315,94,2.8937,0.08252,0.283383,121,2,5,16,14,1,18,4,1.808838,2,2,-9.295581,,,,,,,,
95,11488,95,16.49857,0.085987,0.272427,214,2,4,16,14,1,20,6,3.490967,2,4,-7.854517,,,,,,,,
96,11693,96,63.559084,0.081363,0.259443,117,4,5,16,12,10,17,10,5.087158,4,6,-7.656421,,,,,,,,
97,12149,97,-46.990694,0.083598,0.230563,206,1,4,16,15,0,1,3,1.394775,0,3,-15.802612,,,,,,,,
98,12204,98,-35.423869,0.08288,0.22708,199,1,4,16,15,0,7,2,0.737305,0,2,-15.831348,,,,,,,,
99,12230,99,-36.487124,0.08303,0.225433,190,2,4,16,14,0,0,5,2.491943,2,3,-10.454028,,,,,,,,
100,12398,100,124.608635,0.076911,0.214793,131,4,5,16,12,10,25,34,16.856445,14,20,8.428223,,,,,,,,
101,12441,101,-22.346773,0.078134,0.21207,155,0,5,16,16,0,0,2,0.818359,0,2,-18.19082,,,,,,,,
102,12699,102,-39.657752,0.07911,0.19573,204,1,5,16,15,0,10,1,0.501953,0,1,-12.049023,,,,,,,,
103,12737,103,-30.832931,0.081294,0.193323,253,0,4,16,16,0,1,0,0.0,0,0,-13.2,,,,,,,,
104,12839,104,46.472146,0.078205,0.186863,169,0,5,16,16,0,13,2,0.657715,-1,3,-18.571143,,,,,,,,
105,12884,105,22.770133,0.076473,0.184013,165,3,5,16,13,11,17,7,3.425781,3,4,-8.487109,,,,,,,,
106,13263,106,252.798005,0.073491,0.16001,148,3,5,16,13,10,46,9,3.19458,1,8,-20.60271,,,,,,,,
